Standard ID,Title,Discipline,Source,Local File,Status
DEP 00.00.07.10,Design Class Tables Complex and/or High Value projects only - Evaluate & justify on case by case basis,Project / Quality / Documents,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 01.00.09.10,Operational Tagging Requirements,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.10.01.10,Requisitions Index,Project / Quality / Documents,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 70.10.90.11,Spares Parts,Project / Quality / Documents,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 82.00.10.12,Life Cycle Costing,Project / Quality / Documents,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 00.00.06.06,Standard Drawings Index,Project / Quality / Documents,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 00.00.07.30,Application of a functional specification,Project / Quality / Documents,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 02.00.00.10,Preparation & Microfilming of Technical Drawings,Design / Drafting,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 00.00.00.30,Procedure for Global Technical Standards Publications,Project / Quality / Documents,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 00.00.05.05,Global Technical Standards Index,Project / Quality / Documents,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 00.00.10.05,Standard Forms Index,Project / Quality / Documents,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 00.00.20.10,The Use of SI Quantities,Project / Quality / Documents,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.40.20.34,Ver. 1.0,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.10.02.11,Metallic Materials-Selected Standards,Materials / Corrosion,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.10.02.13,Non-Metallic Materials-Selection & Application,Materials / Corrosion,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.10.02.14,Carbon Steel Corrosion Engineering Manual for Upstream Facilities,Materials / Corrosion,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.10.02.31,Metallic Materials-Prevention of Brittle Fracture in New Assets,Materials / Corrosion,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.46.00.31,Thermal Insulation,Materials / Corrosion,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.48.00.31,Protective Coatings for Onshore Facilities,Materials / Corrosion,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.48.00.32,Coating of Fasteners,Materials / Corrosion,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.48.30.31,Cement Lining of Pipes (Based on EN 10298),Materials / Corrosion,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
